state,code,link
Alabama,AL,https://planscore.s3.amazonaws.com/uploads/20211108T152938.272220230Z/geometry.json
Arizona,AZ,https://planscore.s3.amazonaws.com/uploads/20211223T153735.490645704Z/geometry.json
Arkansas,AR,https://planscore.s3.amazonaws.com/uploads/20220112T173909.897260865Z/geometry.json
California,CA,https://planscore.s3.amazonaws.com/uploads/20211222T041556.135775175Z/geometry.json
Colorado,CO,https://planscore.s3.amazonaws.com/uploads/20210929T191852.242082308Z/geometry.json
Delaware,DE,https://planscore.s3.amazonaws.com/uploads/20220110T145115.664241062Z/geometry.json
Georgia,GA,https://planscore.s3.amazonaws.com/uploads/20220112T175102.385451348Z/geometry.json
Hawaii,HI,https://planscore.s3.amazonaws.com/uploads/20220201T204105.287982684Z/geometry.json
Idaho,ID,https://planscore.s3.amazonaws.com/uploads/20211130T055913.051357543Z/geometry.json
Illinois,IL,https://planscore.s3.amazonaws.com/uploads/20211105T174840.345720166Z/geometry.json
Indiana,IN,https://planscore.s3.amazonaws.com/uploads/20211005T063223.024907147Z/geometry.json
Iowa,IA,https://planscore.s3.amazonaws.com/uploads/20211101T184128.129535035Z/geometry.json
Kansas,KS,https://planscore.s3.amazonaws.com/uploads/20220209T161325.318102023Z/geometry.json
Kentucky,KY,https://planscore.s3.amazonaws.com/uploads/20220112T175953.622981898Z/geometry.json
Maine,ME,https://planscore.s3.amazonaws.com/uploads/20211013T075337.426574120Z/geometry.json
Maryland,MD,https://planscore.s3.amazonaws.com/uploads/20220112T185933.908455299Z/geometry.json
Massachusetts,MA,https://planscore.s3.amazonaws.com/uploads/20211130T061147.040065500Z/geometry.json
Michigan,MI,https://planscore.s3.amazonaws.com/uploads/20211102T180623.315151618Z/geometry.json
Minnesota,MN,https://planscore.s3.amazonaws.com/uploads/20220216T044516.966245316Z/geometry.json
Montanta,MT,https://planscore.s3.amazonaws.com/uploads/20211130T072402.567394402Z/geometry.json
Nebraska,NE,https://planscore.s3.amazonaws.com/uploads/20211001T132434.805821035Z/geometry.json
Nevada,NV,https://planscore.s3.amazonaws.com/uploads/20211130T073111.130397769Z/geometry.json
New Jersey,NJ,https://planscore.s3.amazonaws.com/uploads/20211230T140221.857864385Z/geometry.json
New Mexico,NM,https://planscore.s3.amazonaws.com/uploads/20220201T204901.365599672Z/geometry.json
New York,NY,https://planscore.s3.amazonaws.com/uploads/20220204T185024.476008133Z/geometry.json
North Carolina,NC,https://planscore.s3.amazonaws.com/uploads/20211105T170501.319985710Z/geometry.json
Ohio,OH,https://planscore.s3.amazonaws.com/uploads/20211130T073652.416025582Z/geometry.json
Oklahoma,OK,https://planscore.s3.amazonaws.com/uploads/20211230T141025.213220062Z/geometry.json
Oregon,OR,https://planscore.s3.amazonaws.com/uploads/20211021T003712.166583681Z/geometry.json
Pennsylvania,PA,https://planscore.s3.amazonaws.com/uploads/20220223T183338.634357664Z/geometry.json
Rhode Island,RI,https://planscore.s3.amazonaws.com/uploads/20220223T184721.982035285Z/geometry.json
South Carolina,SC,https://planscore.s3.amazonaws.com/uploads/20220201T202359.130549862Z/geometry.json
Texas,TX,https://planscore.s3.amazonaws.com/uploads/20211020T223641.735826048Z/geometry.json
Utah,UT,https://planscore.s3.amazonaws.com/uploads/20211130T074117.740673449Z/geometry.json
Virginia,VA,https://planscore.s3.amazonaws.com/uploads/20220103T172455.204602567Z/geometry.json
Washington,WA,https://planscore.s3.amazonaws.com/uploads/20211118T211442.019520356Z/geometry.json
West Virginia,WV,https://planscore.s3.amazonaws.com/uploads/20211130T074612.343587293Z/geometry.json
Wisconsin,WI,https://planscore.s3.amazonaws.com/uploads/20220307T032625.619130097Z/geometry.json
